Alloy,Phase
Mn19.468Fe39.094Co9.6512Ni11.836Cu19.951,BCC+FCC
Mn23.033Fe37.125Co9.3867Ni11.549Cu18.908,BCC+FCC
Mn26.729Fe34.938Co9.1746Ni11.32Cu17.839,BCC+FCC+AM
Mn13.75Fe42.838Co10.143Ni12.348Cu20.921,BCC+FCC
Mn11.429Fe43.975Co10.268Ni12.475Cu21.853,BCC+FCC
Mn8.0431Fe46.262Co10.712Ni12.646Cu22.337,BCC
Mn6.7174Fe47.068Co10.802Ni12.82Cu22.593,BCC
Mn5.717Fe47.678Co10.805Ni13.048Cu22.752,BCC
Mn4.9976Fe48.282Co10.895Ni13.207Cu22.618,BCC
Mn9.8056Fe45.365Co10.477Ni12.276Cu22.077,BCC
Mn14.987Fe43.521Co8.9311Ni10.629Cu21.932,BCC+FCC
Mn17.822Fe41.737Co8.7103Ni10.566Cu21.164,BCC+FCC
Mn21.281Fe39.573Co8.5525Ni10.311Cu20.282,BCC+FCC
Mn12.4Fe45.59Co8.951Ni10.787Cu22.272,BCC+FCC
Mn10.315Fe46.932Co8.9614Ni10.769Cu23.022,BCC
Mn7.1809Fe49.086Co9.0077Ni11.318Cu23.407,BCC
Mn6.1491Fe49.883Co9.031Ni11.166Cu23.771,BCC
Mn5.356Fe50.786Co9.0144Ni10.986Cu23.858,BCC
Mn8.6504Fe48.283Co9.0327Ni10.929Cu23.105,BCC
Mn13.399Fe46.267Co7.9164Ni9.3433Cu23.075,BCC+FCC
Mn11.08Fe48.093Co7.745Ni9.4728Cu23.61,BCC
Mn9.2508Fe49.293Co7.9991Ni9.3335Cu24.123,BCC
Mn6.5576Fe51.839Co7.8841Ni9.4813Cu24.238,BCC
Mn7.6446Fe50.716Co7.9255Ni9.3341Cu24.38,BCC
Mn21.375Fe29.326Co15.764Ni18.875Cu14.66,BCC+FCC
Mn25.149Fe27.786Co14.908Ni18.165Cu13.992,BCC+FCC+AM
Mn29.721Fe26.27Co14.212Ni17.004Cu12.792,AM
Mn34.016Fe24.433Co13.175Ni15.963Cu12.412,AM
Mn38.996Fe22.475Co12.225Ni14.721Cu11.584,AM
Mn44.6Fe20.574Co10.979Ni13.541Cu10.306,AM
Mn17.967Fe30.729Co16.401Ni19.78Cu15.123,BCC+FCC
Mn14.951Fe31.618Co16.927Ni20.545Cu15.959,BCC+FCC
Mn10.664Fe33.064Co18.144Ni21.957Cu16.171,BCC+FCC
Mn9.0267Fe33.669Co18.732Ni22.219Cu16.354,BCC+FCC
Mn7.4911Fe33.987Co19.095Ni22.84Cu16.587,BCC+FCC
Mn6.4476Fe34.024Co19.356Ni23.436Cu16.736,BCC+FCC
Mn5.4917Fe34.107Co19.942Ni23.695Cu16.764,BCC+FCC
Mn4.8991Fe34.111Co20.227Ni24.277Cu16.486,BCC+FCC
Mn12.775Fe32.499Co17.618Ni21.295Cu15.813,BCC+FCC
Mn22.098Fe26.566Co17.23Ni20.993Cu13.114,BCC+FCC+AM
Mn26.69Fe25.576Co16.259Ni19.336Cu12.139,AM
Mn30.087Fe23.933Co15.244Ni18.569Cu12.166,AM
Mn35.22Fe22.336Co14.216Ni17.109Cu11.119,AM
Mn40.23Fe20.418Co13.128Ni15.845Cu10.38,AM
Mn45.678Fe18.797Co11.826Ni14.406Cu9.2925,AM
Mn18.473Fe27.689Co18.275Ni21.903Cu13.659,BCC+FCC
Mn15.487Fe28.583Co18.836Ni22.857Cu14.237,BCC+FCC
Mn11.005Fe29.843Co20.043Ni24.56Cu14.549,BCC+FCC
Mn9.0858Fe30.06Co20.996Ni25.224Cu14.634,BCC+FCC
Mn7.861Fe30.4Co21.319Ni25.639Cu14.78,BCC+FCC
Mn6.6535Fe30.471Co21.762Ni26.389Cu14.724,BCC+FCC
Mn5.5448Fe30.604Co22.343Ni26.772Cu14.736,BCC+FCC
Mn5.0527Fe30.332Co22.803Ni27.281Cu14.531,BCC+FCC
Mn13.058Fe28.952Co19.678Ni23.855Cu14.457,BCC+FCC
Mn23.301Fe22.048Co20.528Ni24.233Cu9.89,AM
Mn27.772Fe20.911Co19.039Ni22.369Cu9.9092,AM
Mn31.588Fe19.363Co18.068Ni21.632Cu9.3486,AM
Mn36.199Fe18.187Co16.809Ni20.011Cu8.7938,AM
Mn42.311Fe17.46Co14.927Ni17.339Cu7.962,AM
Mn46.999Fe15.25Co13.683Ni16.441Cu7.6262,AM
Mn18.868Fe21.706Co21.759Ni26.593Cu11.073,FCC+AM
Mn15.843Fe22.663Co22.993Ni27.407Cu11.094,FCC
Mn11.252Fe23.204Co24.512Ni29.522Cu11.51,FCC
Mn9.5483Fe23.34Co25.42Ni30.314Cu11.377,FCC
Mn7.8639Fe23.431Co25.784Ni31.365Cu11.556,FCC
Mn6.6722Fe23.28Co26.631Ni32.068Cu11.348,FCC
Mn5.7404Fe23.162Co27.48Ni32.385Cu11.233,FCC
Mn4.8502Fe23.206Co27.811Ni33.095Cu11.038,FCC
Mn13.404Fe22.977Co23.599Ni28.583Cu11.436,FCC
Mn24.434Fe20.707Co20.653Ni26.538Cu7.6682,AM
Mn29.347Fe18.672Co22.191Ni22.44Cu7.3504,AM
Mn31.294Fe19.855Co18.947Ni22.753Cu7.1508,AM
Mn36.669Fe16.633Co17.821Ni21.105Cu7.7726,AM
Mn41.521Fe15.334Co16.296Ni19.293Cu7.5561,AM
Mn19.041Fe19.498Co23.516Ni28.288Cu9.6572,FCC+AM
Mn15.936Fe19.856Co24.727Ni29.672Cu9.8086,FCC
Mn11.014Fe20.553Co26.68Ni31.8Cu9.9532,FCC
Mn9.2009Fe20.391Co27.657Ni32.751Cu9.9997,FCC
Mn7.8024Fe20.37Co28.357Ni33.59Cu9.8798,FCC
Mn6.5919Fe20.17Co29.019Ni34.317Cu9.9013,FCC
Mn5.6151Fe19.954Co29.481Ni35.213Cu9.7373,FCC
Mn13.092Fe19.886Co25.893Ni30.972Cu10.156,FCC
Mn22.025Fe16.838Co24.025Ni28.882Cu8.2304,FCC+AM
Mn27.616Fe16.73Co22.062Ni25.96Cu7.6326,AM
Mn30.76Fe15.767Co20.853Ni25.054Cu7.5669,AM
Mn34.163Fe8.6145Co17.611Ni19.812Cu19.8,AM
Mn43.222Fe14.532Co16.146Ni19.917Cu6.1838,AM
Mn18.785Fe17.118Co25.335Ni30.324Cu8.4388,FCC
Mn15.602Fe17.528Co26.481Ni31.843Cu8.5459,FCC
Mn10.74Fe17.881Co28.415Ni34.133Cu8.8315,FCC
Mn9.0102Fe17.708Co29.189Ni35.309Cu8.7845,FCC
Mn7.7014Fe17.602Co30.21Ni35.901Cu8.5858,FCC
Mn6.398Fe17.472Co31.049Ni36.697Cu8.3839,FCC
Mn5.361Fe17.263Co31.53Ni37.601Cu8.2447,FCC
Mn13.011Fe17.682Co27.646Ni32.873Cu8.7879,FCC
Mn21.358Fe14.844Co25.693Ni31.079Cu7.0253,FCC+AM
Mn25.708Fe14.32Co24.091Ni28.864Cu7.017,AM
Mn30.338Fe13.986Co22.486Ni26.634Cu6.5561,AM
Mn35.015Fe13.281Co20.497Ni24.684Cu6.5222,AM
Mn18.077Fe15.194Co26.988Ni32.308Cu7.4332,FCC
Mn15.024Fe15.364Co28.291Ni33.891Cu7.4289,FCC
Mn10.43Fe15.337Co30.733Ni36.148Cu7.3523,FCC
Mn8.6131Fe15.155Co31.412Ni37.422Cu7.398,FCC
Mn7.2744Fe15.06Co32.326Ni38.01Cu7.3305,FCC
Mn5.9508Fe15.158Co32.892Ni38.692Cu7.3077,FCC
Mn12.324Fe15.309Co29.514Ni35.164Cu7.6905,FCC
Mn20.511Fe13.174Co27.243Ni32.484Cu6.5868,FCC+AM
Mn24.644Fe12.971Co25.643Ni30.445Cu6.2983,AM
Mn29.359Fe12.627Co23.813Ni28.28Cu5.9217,AM
Mn17.486Fe13.457Co28.554Ni34.068Cu6.434,FCC
Mn14.517Fe13.401Co30.027Ni35.64Cu6.4141,FCC
Mn9.8539Fe13.477Co32.156Ni38.126Cu6.3878,FCC
Mn8.1846Fe13.171Co33.083Ni39.318Cu6.2431,FCC
Mn6.8358Fe12.769Co33.968Ni40.062Cu6.3657,FCC
Mn11.797Fe13.512Co30.966Ni36.987Cu6.7378,FCC
Mn19.72Fe11.629Co28.651Ni34.223Cu5.777,FCC+AM
Mn16.484Fe11.616Co30.101Ni36.113Cu5.685,FCC
Mn13.73Fe11.675Co31.604Ni37.34Cu5.6517,FCC
Mn9.2912Fe11.502Co33.377Ni40.08Cu5.7491,FCC
Mn11.308Fe11.536Co32.767Ni38.789Cu5.6006,FCC
Mn22.386Fe23.956Co18.873Ni22.964Cu11.821,BCC+FCC+AM
Mn27.651Fe23.825Co17.709Ni20.237Cu10.579,AM
Mn31.29Fe21.79Co16.698Ni19.811Cu10.41,AM
Mn36.482Fe20.114Co15.355Ni18.23Cu9.8182,AM
Mn42.204Fe19.277Co13.714Ni16.113Cu8.6916,AM
Mn46.4Fe16.974Co12.801Ni15.441Cu8.3838,AM
Mn18.905Fe24.57Co20.058Ni24.086Cu12.381,BCC+FCC+AM
Mn15.762Fe25.465Co20.815Ni24.96Cu12.997,FCC
Mn11.102Fe26.278Co22.488Ni27.078Cu13.053,FCC
Mn9.3134Fe26.714Co23.124Ni27.872Cu12.977,FCC
Mn7.9135Fe26.609Co23.785Ni28.57Cu13.123,FCC
Mn6.7889Fe26.859Co24.224Ni29.101Cu13.027,FCC
Mn5.7739Fe26.857Co24.746Ni29.551Cu13.072,FCC
Mn4.9522Fe26.503Co25.415Ni30.146Cu12.984,FCC
Mn13.382Fe25.709Co21.878Ni26.119Cu12.911,FCC
Al20.52Cr26.375Co13.61Ni16.864Cu22.631,BCC
Al24.219Cr25.335Co12.954Ni15.843Cu21.648,BCC
Al28.039Cr24.047Co12.136Ni15.084Cu20.694,BCC
Al32.755Cr22.431Co11.119Ni14.095Cu19.6,BCC
Al38.181Cr20.531Co10.342Ni12.849Cu18.097,BCC
Al43.722Cr18.647Co9.4313Ni11.722Cu16.478,BCC
Al17.16Cr27.778Co14.234Ni17.412Cu23.416,BCC+FCC
Al14.301Cr28.804Co14.912Ni18.22Cu23.763,BCC+FCC
Al9.8963Cr29.907Co16.047Ni19.902Cu24.247,BCC+FCC
Al8.4927Cr30.17Co16.627Ni20.166Cu24.544,BCC+FCC
Al7.1766Cr30.397Co17.008Ni20.488Cu24.93,BCC+FCC
Al5.932Cr30.681Co17.446Ni21.297Cu24.644,BCC+FCC
Al5.0166Cr30.742Co17.99Ni21.664Cu24.588,BCC+FCC
Al4.4072Cr30.77Co18.401Ni21.902Cu24.519,BCC+FCC
Al12.131Cr29.45Co15.579Ni18.791Cu24.049,BCC+FCC
Al19.052Cr29.263Co12.164Ni14.969Cu24.552,BCC
Al22.551Cr28.077Co11.557Ni14.287Cu23.527,BCC
Al27.199Cr26.115Co10.845Ni13.47Cu22.372,BCC
Al31.181Cr24.552Co10.228Ni12.773Cu21.267,BCC
Al36.079Cr22.603Co9.6172Ni11.927Cu19.774,BCC
Al15.85Cr30.522Co12.754Ni15.609Cu25.266,BCC
Al13.187Cr31.305Co13.091Ni16.34Cu26.076,BCC+FCC
Al9.3448Cr32.863Co13.989Ni17.218Cu26.586,BCC+FCC
Al7.8292Cr33.339Co14.366Ni17.726Cu26.739,BCC+FCC
Al6.5414Cr33.703Co14.907Ni18.024Cu26.824,BCC+FCC
Al5.5074Cr34.053Co15.165Ni18.398Cu26.877,BCC+FCC
Al4.9164Cr33.953Co15.501Ni18.679Cu26.952,BCC+FCC
Al11.162Cr32.283Co13.639Ni16.641Cu26.275,BCC+FCC
Al17.279Cr31.903Co10.91Ni13.412Cu26.497,BCC
Al20.775Cr30.475Co10.385Ni12.732Cu25.634,BCC
Al25.816Cr28.252Co9.6813Ni12.166Cu24.085,BCC
Al29.672Cr26.73Co9.317Ni11.263Cu23.019,BCC
Al33.865Cr24.849Co8.6798Ni11.099Cu21.507,BCC
Al14.331Cr33.275Co11.051Ni13.813Cu27.531,BCC
Al11.989Cr34.458Co11.641Ni14.151Cu27.762,BCC
Al8.2299Cr36.14Co12.199Ni14.779Cu28.651,BCC+FCC
Al7.4806Cr36.307Co12.426Ni15.079Cu28.708,BCC+FCC
Al6.2774Cr36.86Co12.753Ni15.395Cu28.713,BCC+FCC
Al5.2466Cr36.964Co13.067Ni15.842Cu28.88,BCC+FCC
Al4.4927Cr36.957Co13.282Ni15.937Cu29.33,BCC+FCC
Al10.108Cr35.096Co11.932Ni14.521Cu28.343,BCC
Al15.836Cr34.247Co9.4375Ni11.779Cu28.701,BCC
Al18.99Cr32.906Co9.0651Ni11.473Cu27.566,BCC
Al23.071Cr31.098Co8.7712Ni10.848Cu26.212,BCC
Al27.158Cr29.142Co8.4204Ni10.48Cu24.799,BCC
Al13.016Cr35.991Co9.6861Ni12.095Cu29.212,BCC
Al11.13Cr37.17Co9.991Ni12.116Cu29.594,BCC
Al7.4344Cr38.719Co10.466Ni12.717Cu30.663,BCC
Al6.6347Cr39.302Co10.595Ni12.926Cu30.543,BCC
Al5.94Cr39.716Co10.855Ni13.06Cu30.43,BCC+FCC
Al4.8636Cr40.183Co10.992Ni13.37Cu30.592,BCC+FCC
Al9.2889Cr37.793Co10.312Ni12.456Cu30.149,BCC
Al14.11Cr36.704Co8.3646Ni10.54Cu30.282,BCC
Al17.161Cr35.193Co8.0678Ni10.134Cu29.444,BCC
Al20.379Cr33.562Co7.829Ni9.9093Cu28.32,BCC
Al12.307Cr38.079Co8.5212Ni10.375Cu30.718,BCC
Al10.053Cr39.429Co8.7554Ni10.686Cu31.077,BCC
Al6.9025Cr41.324Co8.9532Ni10.821Cu32.0,BCC
Al5.5748Cr41.922Co9.1993Ni11.179Cu32.125,BCC
Al5.0505Cr42.317Co9.2368Ni11.071Cu32.325,BCC
Al8.4341Cr40.477Co8.7568Ni10.723Cu31.61,BCC
Al12.946Cr39.154Co7.1668Ni9.0359Cu31.698,BCC
Al10.843Cr40.413Co7.3945Ni9.2187Cu32.13,BCC
Al9.0897Cr41.823Co7.5511Ni9.0951Cu32.441,BCC
Al6.1045Cr43.561Co7.5355Ni9.2012Cu33.598,BCC
Al7.3617Cr42.622Co7.6Ni9.2599Cu33.156,BCC
Al21.105Cr24.081Co15.272Ni18.643Cu20.899,BCC+FCC
Al24.963Cr22.942Co14.391Ni17.748Cu19.955,BCC
Al29.684Cr21.808Co13.235Ni16.481Cu18.791,BCC
Al35.057Cr20.099Co12.2Ni14.99Cu17.655,BCC
Al40.359Cr18.52Co11.15Ni13.669Cu16.301,BCC
Al45.822Cr16.884Co10.032Ni12.494Cu14.768,BCC
Al17.861Cr25.074Co16.065Ni19.633Cu21.367,BCC+FCC
Al14.772Cr26.034Co16.833Ni20.624Cu21.737,BCC+FCC
Al10.552Cr26.897Co18.123Ni22.043Cu22.385,BCC+FCC
Al8.594Cr27.286Co19.018Ni22.788Cu22.313,BCC+FCC
Al7.5234Cr27.29Co19.437Ni23.409Cu22.341,BCC+FCC
Al6.3315Cr27.625Co20.036Ni23.802Cu22.204,BCC+FCC
Al5.5068Cr27.393Co20.561Ni24.489Cu22.051,BCC+FCC
Al4.5291Cr27.504Co20.987Ni24.994Cu21.985,BCC+FCC
Al12.782Cr26.314Co17.476Ni21.424Cu22.004,BCC+FCC
Al22.931Cr21.433Co16.571Ni20.627Cu18.437,BCC+FCC
Al26.319Cr20.721Co15.829Ni19.173Cu17.957,BCC+FCC
Al30.554Cr19.716Co14.564Ni17.926Cu17.239,BCC
Al36.392Cr18.064Co13.237Ni16.44Cu15.866,BCC
Al41.3Cr16.953Co12.105Ni14.967Cu14.675,BCC
Al47.03Cr15.265Co10.854Ni13.428Cu13.423,BCC
Al19.455Cr22.348Co17.607Ni21.608Cu18.983,BCC+FCC
Al15.539Cr23.167Co19.044Ni22.874Cu19.375,BCC+FCC
Al10.843Cr23.995Co20.606Ni24.549Cu20.007,BCC+FCC
Al9.1041Cr24.245Co21.152Ni25.346Cu20.153,BCC+FCC
Al7.5799Cr24.152Co21.872Ni26.27Cu20.127,BCC+FCC
Al6.5154Cr24.11Co22.734Ni26.824Cu19.816,FCC
Al5.7335Cr23.907Co23.175Ni27.413Cu19.771,FCC
Al4.9001Cr24.044Co23.64Ni27.872Cu19.543,FCC
Al12.827Cr23.733Co19.668Ni23.774Cu19.998,BCC+FCC
Al23.548Cr17.088Co19.851Ni24.316Cu15.197,BCC+FCC
Al27.92Cr16.453Co18.429Ni22.581Cu14.617,BCC+FCC
Al33.032Cr15.532Co16.879Ni20.678Cu13.879,BCC+FCC
Al37.525Cr14.755Co15.626Ni19.196Cu12.899,BCC
Al42.828Cr13.677Co14.038Ni17.313Cu12.145,BCC
Al48.298Cr12.5Co12.632Ni15.371Cu11.199,BCC
Al19.979Cr17.658Co21.261Ni25.808Cu15.294,BCC+FCC
Al16.228Cr18.103Co22.667Ni27.382Cu15.622,BCC+FCC
Al11.546Cr18.428Co24.592Ni29.699Cu15.735,FCC
Al9.3259Cr18.599Co25.651Ni30.732Cu15.693,FCC
Al8.0237Cr18.275Co26.423Ni31.625Cu15.653,FCC
Al6.676Cr18.255Co27.364Ni32.42Cu15.284,FCC
Al5.6436Cr17.9Co28.103Ni33.163Cu15.191,FCC
Al4.8651Cr17.871Co28.507Ni33.885Cu14.873,FCC
Al13.853Cr18.334Co23.856Ni28.293Cu15.664,FCC
Al23.433Cr15.166Co21.562Ni26.515Cu13.324,BCC+FCC
Al28.347Cr14.394Co20.072Ni24.443Cu12.745,BCC+FCC
Al32.814Cr13.93Co18.542Ni22.421Cu12.292,BCC+FCC
Al38.299Cr13.071Co16.653Ni20.401Cu11.576,BCC
Al43.741Cr12.175Co14.917Ni18.337Cu10.829,BCC
Al19.746Cr15.492Co23.145Ni28.02Cu13.597,BCC+FCC
Al16.421Cr15.863Co24.354Ni29.482Cu13.879,BCC+FCC
Al11.316Cr15.956Co26.98Ni32.056Cu13.692,FCC
Al9.1426Cr16.016Co27.91Ni33.096Cu13.835,FCC
Al7.654Cr16.062Co28.535Ni34.103Cu13.646,FCC
Al6.5909Cr15.901Co29.296Ni34.805Cu13.407,FCC
Al5.6834Cr15.48Co30.201Ni35.759Cu12.877,FCC
Al13.858Cr15.999Co25.748Ni30.775Cu13.62,FCC
Al24.031Cr13.085Co23.045Ni28.241Cu11.597,BCC+FCC
Al28.789Cr12.743Co21.198Ni25.944Cu11.325,BCC+FCC
Al32.548Cr12.361Co19.836Ni24.1Cu11.155,BCC+FCC
Al37.774Cr11.775Co17.993Ni21.84Cu10.619,BCC
Al44.122Cr10.82Co15.911Ni19.432Cu9.7161,BCC
Al19.518Cr13.635Co24.884Ni29.98Cu11.983,BCC+FCC
Al16.107Cr13.876Co26.319Ni31.58Cu12.117,FCC
Al10.621Cr13.879Co28.926Ni34.538Cu12.035,FCC
Al9.1886Cr13.605Co29.763Ni35.523Cu11.92,FCC
Al7.3199Cr13.736Co30.821Ni36.33Cu11.792,FCC
Al6.4116Cr13.469Co31.47Ni37.271Cu11.379,FCC
Al5.248Cr13.308Co32.488Ni37.754Cu11.202,FCC
Al13.168Cr13.885Co27.838Ni33.043Cu12.066,FCC
Al23.608Cr11.662Co24.678Ni29.906Cu10.146,BCC+FCC
Al28.404Cr11.278Co22.608Ni27.462Cu10.247,BCC+FCC
Al32.379Cr11.032Co21.139Ni25.619Cu9.8312,BCC+FCC
Al37.492Cr10.595Co19.139Ni23.293Cu9.4804,BCC
Al18.893Cr12.137Co26.606Ni31.684Cu10.68,BCC+FCC
Al15.695Cr12.156Co27.924Ni33.437Cu10.788,FCC
Al10.441Cr11.989Co30.574Ni36.414Cu10.582,FCC
Al8.533Cr11.775Co31.917Ni37.529Cu10.246,FCC
Al7.1928Cr11.591Co32.714Ni38.685Cu9.8168,FCC
Al6.0611Cr11.4Co33.413Ni39.264Cu9.8614,FCC
Al12.663Cr11.965Co29.65Ni35.272Cu10.451,FCC
Al22.824Cr10.376Co26.046Ni31.269Cu9.4847,BCC+FCC
Al27.598Cr10.078Co24.015Ni29.062Cu9.2467,BCC+FCC
Al31.739Cr9.8861Co22.422Ni26.928Cu9.0243,BCC+FCC
Al18.368Cr10.591Co28.024Ni33.479Cu9.5378,FCC
Al14.963Cr10.405Co29.918Ni35.33Cu9.3838,FCC
Al10.49Cr10.222Co32.277Ni38.021Cu8.99,FCC
Al8.4601Cr10.102Co33.438Ni39.283Cu8.7163,FCC
Al6.7328Cr9.9175Co34.373Ni40.397Cu8.579,FCC
Al12.622Cr10.231Co31.226Ni36.96Cu8.961,FCC
Al22.0Cr9.2471Co27.616Ni33.0Cu8.136,BCC+FCC
Al17.985Cr9.1584Co29.402Ni35.19Cu8.2649,FCC
Al14.796Cr9.0068Co31.051Ni36.986Cu8.1609,FCC
Al9.8986Cr8.8521Co33.822Ni39.815Cu7.6123,FCC
Al12.161Cr8.9418Co32.608Ni38.437Cu7.8527,FCC
Al23.868Cr19.107Co18.188Ni22.201Cu16.636,BCC+FCC
Al27.362Cr18.406Co17.027Ni21.145Cu16.061,BCC+FCC
Al31.843Cr17.542Co15.947Ni19.409Cu15.259,BCC
Al36.834Cr16.299Co14.628Ni17.751Cu14.488,BCC
Al42.098Cr15.237Co13.248Ni15.987Cu13.43,BCC
Al47.239Cr14.169Co11.623Ni14.638Cu12.33,BCC
Al20.419Cr19.981Co19.362Ni23.377Cu16.861,BCC+FCC
Al16.19Cr20.494Co20.45Ni25.106Cu17.759,BCC+FCC
Al11.278Cr21.074Co22.483Ni27.447Cu17.718,FCC
Al9.4014Cr21.108Co23.381Ni28.32Cu17.789,FCC
Al8.0352Cr21.11Co24.276Ni28.928Cu17.651,FCC
Al6.3841Cr21.244Co25.053Ni29.8Cu17.518,FCC
Al5.4545Cr21.137Co25.536Ni30.308Cu17.564,FCC
Al4.6252Cr20.955Co26.252Ni31.047Cu17.12,FCC
Al13.629Cr21.016Co21.614Ni26.046Cu17.694,BCC+FCC
Al22.973Cr26.958Fe13.344Co16.416Cu20.309,BCC
Al26.873Cr25.41Fe12.678Co15.547Cu19.491,BCC
Al31.031Cr23.866Fe12.002Co14.7Cu18.401,BCC
Al36.125Cr22.301Fe10.984Co13.488Cu17.101,BCC
Al41.826Cr20.224Fe10.062Co12.427Cu15.461,BCC
Al47.446Cr18.158Fe9.1526Co11.128Cu14.115,BCC
Al19.132Cr28.035Fe14.321Co17.444Cu21.069,BCC
Al16.086Cr29.267Fe14.845Co18.083Cu21.719,BCC
Al11.381Cr30.614Fe16.076Co19.588Cu22.342,BCC
Al9.4739Cr31.49Fe16.45Co20.094Cu22.492,BCC
Al7.9118Cr31.9Fe16.805Co20.432Cu22.951,BCC
Al6.61Cr32.135Fe17.317Co20.979Cu22.959,BCC
Al6.0267Cr32.175Fe17.706Co21.493Cu22.599,BCC
Al5.202Cr32.479Fe17.92Co21.554Cu22.844,BCC
Al13.724Cr29.917Fe15.335Co18.862Cu22.161,BCC
Al21.343Cr29.764Fe12.083Co14.851Cu21.959,BCC
Al25.402Cr27.998Fe11.351Co14.133Cu21.116,BCC
Al31.008Cr25.739Fe10.723Co13.059Cu19.47,BCC
Al34.948Cr24.243Fe10.042Co12.348Cu18.419,BCC
Al39.693Cr22.267Fe9.1644Co11.347Cu17.53,BCC
Al17.977Cr31.197Fe12.608Co15.457Cu22.76,BCC
Al15.12Cr32.17Fe13.088Co16.156Cu23.466,BCC
Al10.559Cr34.089Fe14.114Co16.734Cu24.504,BCC
Al8.7679Cr34.59Fe14.286Co17.425Cu24.931,BCC
Al7.638Cr35.196Fe14.645Co17.688Cu24.833,BCC
Al6.4824Cr35.53Fe14.673Co18.206Cu25.109,BCC
Al5.5908Cr35.69Fe15.318Co18.151Cu25.251,BCC
Al12.75Cr33.147Fe13.543Co16.478Cu24.082,BCC
Al19.549Cr32.314Fe10.77Co13.356Cu24.01,BCC
Al23.855Cr30.337Fe10.205Co12.63Cu22.973,BCC
Al28.931Cr28.309Fe9.4773Co11.876Cu21.407,BCC
Al33.807Cr26.34Fe8.9496Co11.048Cu19.856,BCC
Al37.573Cr24.55Fe8.5736Co10.616Cu18.688,BCC
Al16.526Cr33.746Fe11.254Co13.737Cu24.736,BCC
Al14.051Cr35.146Fe11.51Co14.019Cu25.273,BCC
Al9.8354Cr37.191Fe11.93Co14.739Cu26.305,BCC
Al8.5532Cr37.641Fe12.319Co15.231Cu26.256,BCC
Al7.2946Cr38.16Fe12.71Co15.225Cu26.61,BCC
Al5.9934Cr38.807Fe12.869Co15.583Cu26.747,BCC
Al5.2027Cr39.106Fe12.962Co15.803Cu26.926,BCC
Al11.593Cr36.441Fe11.637Co14.316Cu26.014,BCC
Al18.02Cr34.864Fe9.5261Co11.759Cu25.831,BCC
Al21.553Cr33.314Fe9.0811Co11.203Cu24.848,BCC
Al26.906Cr30.722Fe8.6156Co10.681Cu23.075,BCC
Al31.218Cr28.771Fe8.1128Co10.102Cu21.797,BCC
Al15.544Cr36.415Fe9.8215Co11.941Cu26.277,BCC
Al13.84Cr37.49Fe9.898Co11.933Cu26.839,BCC
Al8.7128Cr40.318Fe10.326Co12.49Cu28.153,BCC
Al7.8466Cr40.708Fe10.425Co12.828Cu28.192,BCC
Al6.7891Cr41.502Fe10.762Co12.972Cu27.975,BCC
Al5.7233Cr41.631Fe10.889Co13.279Cu28.477,BCC
Al10.623Cr39.098Fe10.33Co12.146Cu27.802,BCC
Al16.444Cr37.433Fe8.4215Co10.242Cu27.46,BCC
Al19.8Cr35.699Fe8.0661Co9.9831Cu26.451,BCC
Al23.915Cr33.452Fe7.8268Co9.7244Cu25.082,BCC
Al14.969Cr38.739Fe8.5448Co10.323Cu27.424,BCC
Al12.458Cr40.156Fe8.6956Co10.45Cu28.241,BCC
Al7.9782Cr42.836Fe8.7433Co10.865Cu29.577,BCC
Al6.8807Cr43.352Fe8.8804Co11.088Cu29.799,BCC
Al6.2329Cr44.062Fe9.0788Co10.968Cu29.658,BCC
Al9.6725Cr41.679Fe8.7691Co10.644Cu29.235,BCC
Al15.509Cr39.691Fe7.2134Co8.8861Cu28.701,BCC
Al13.489Cr41.116Fe7.4485Co8.8024Cu29.144,BCC
Al11.181Cr42.614Fe7.3979Co9.1398Cu29.668,BCC
Al7.3633Cr44.828Fe7.7007Co9.1798Cu30.928,BCC
Al8.5865Cr44.116Fe7.6011Co9.2408Cu30.455,BCC
Al23.28Cr24.503Fe15.164Co18.401Cu18.652,BCC
Al27.498Cr23.107Fe14.328Co17.275Cu17.792,BCC
Al32.294Cr21.721Fe13.04Co16.126Cu16.819,BCC
Al38.118Cr19.867Fe11.953Co14.726Cu15.335,BCC
Al43.615Cr18.029Fe10.896Co13.459Cu14.0,BCC
Al49.228Cr16.261Fe9.7705Co12.124Cu12.615,BCC
Al19.953Cr25.426Fe15.915Co19.655Cu19.051,BCC
Al16.673Cr26.413Fe16.708Co20.564Cu19.641,BCC
Al11.511Cr27.65Fe18.289Co22.158Cu20.392,BCC
Al9.6789Cr28.153Fe18.798Co22.937Cu20.434,BCC
Al8.2523Cr28.401Fe19.321Co23.388Cu20.638,BCC
Al7.2927Cr28.558Fe19.882Co23.975Cu20.292,BCC
Al6.4053Cr28.75Fe20.116Co24.534Cu20.195,BCC
Al5.4297Cr28.732Fe20.725Co24.563Cu20.551,BCC
Al14.372Cr27.031Fe17.257Co21.24Cu20.1,BCC
Al25.261Cr21.664Fe16.332Co20.037Cu16.707,BCC
Al28.421Cr20.788Fe15.517Co19.065Cu16.208,BCC
Al33.074Cr19.535Fe14.421Co17.645Cu15.324,BCC
Al38.861Cr17.974Fe13.008Co16.113Cu14.043,BCC
Al44.791Cr16.279Fe11.683Co14.44Cu12.807,BCC
Al50.32Cr14.822Fe10.469Co13.004Cu11.386,BCC
